College Code,College Name,District,Type,EIIN,Address
2136,"SELIM REZA HABIB DEGREE COLLEGE, MALIFA",PABNA,Non Govt.,125792,"MALIFA, SUJANAGAR"
2138,DULAURI DEGREE COLLEGE,PABNA,Non Govt.,125698,DHULAURI
2139,CITY COLLEGE,PABNA,Non Govt.,125655,GOPALPUR
2140,EUNUS ALI DEGREE COLLEGE,PABNA,Non Govt.,125491,DHANUAGHATA
2141,ATGHORIA GOVT. COLLEGE,PABNA,Govt.,125300,CHANDV
2142,DENGERGRAM DEGREE COLLEGE,PABNA,Non Govt.,125301,EKDANTA
2143,MASHUNDIA BHAWANIPUR K. J. B. DEGREE COLLEGE,PABNA,Non Govt.,125331,MASHUNDIA
2144,NIZAMUDDIN ASGAR ALI COLLEGE,PABNA,Non Govt.,125789,SUJANAGAR
2145,JORGACHA COLLEGE,PABNA,Non Govt.,125746,JORGACHA
2146,KASHINATHPUR WOMENS COLLEGE,PABNA,Non Govt.,125332,"HORIDEBPUR, KASHINATHPUR"
2147,NAKALIA MONJUR KADER COLLEGE,PABNA,Non Govt.,125328,"NAKALIA, BERA"
2148,SUJANAGAR WOMENS COLLEGE,PABNA,Non Govt.,125788,POST. SUJANAGAR
2149,MOHILA COLLEGE BHANGOORA,PABNA,Non Govt.,,"bhangoor, bhangoora"
2150,SATBARIA DEGREE COLLEGE,PABNA,Non Govt.,125791,"SATBARIA, Sujanagar"
2151,SALIMPUR DEGREE COLLEGE,PABNA,Non Govt.,125557,MANIK NAGOR
2501,RAJSHAHI COLLEGE,RAJSHAHI,Govt.,126490,Boalia
2502,RAJSHAHI GOVT. CITY COLLEGE,RAJSHAHI,Govt.,126489,"RAJAHATA, BOALIA"
2503,SHAH MAKHDUM COLLEGE,RAJSHAHI,Non Govt.,126481,GHORAMARA
2504,"ADARSHA COLLEGE, SHYAMPOR",RAJSHAHI,Non Govt.,126930,SHYAMPOR
2505,RAJSHAHI COURT COLLEGE,RAJSHAHI,Non Govt.,127039,"Rajshai Court, Rajpara"
2506,RAJSHAHI NEW GOVT. DEGREE COLLEGE,RAJSHAHI,Govt.,127038,KAZIHATA
2507,RAJSHAHI GOVT. MAHILA COLLEGE,RAJSHAHI,Govt.,126487,"KADIRGONG, BOALIA"
2508,MADARBAKSH HOME ECONOMICS COLLEGE,RAJSHAHI,Non Govt.,127040,PADMA R/A
2509,BHABANIGANJ GOVERNMENT COLLEGE,RAJSHAHI,Govt.,126422,BAGMARA
2510,TAHERPUR COLLEGE,RAJSHAHI,Non Govt.,126424,"TAHERPUR, BAGMARA"
2511,DURGAPUR COLLEGE,RAJSHAHI,Non Govt.,126659,"SINGA, DURGAPUR"
2512,DAOKANDI GOVT. COLLEGE,RAJSHAHI,Govt.,126660,"DAOKANDI, DURGAPUR"
2513,TANOR ABDUL KARIM SARKAR COLLEGE,RAJSHAHI,Govt.,127146,TANORE
2514,LALIT MOHAN COLLEGE,RAJSHAHI,Non Govt.,127144,"TALANDA, TANORE"
2515,GODAGARI GOVT. COLLEGE,RAJSHAHI,Govt.,126762,"GODAGARI, RAHSHAHI"
2516,MOHANPUR GOVT. COLLEGE,RAJSHAHI,Govt.,126841,"MOHANPUR, Mohanpur"
2517,BANESWAR GOVT. COLLEGE,RAJSHAHI,Govt.,127013,BANESWAR COLLEGE
2518,SHAHDOWLA GOVERNMENT COLLEGE,RAJSHAHI,Govt.,126255,"BAGHA, RAJSHAHI"
2519,PUTHIA LASKARPUR COLLEGE,RAJSHAHI,Non Govt.,127014,PUTHIA
2520,ARANI COLLEGE,RAJSHAHI,Non Govt.,126256,"ARANI, BAGHA"
2521,SARDAH GOVT. COLLEGE,RAJSHAHI,Govt.,126582,"SARDAH, CHARGHAT"
2522,PRAMTALI COLLEGE,RAJSHAHI,Non Govt.,126761,"PREMTALI, GODAGARI"
2523,NOWHATA GOVERNMENT COLLEGE,RAJSHAHI,Govt.,126933,"NOWHATA, NOWHATA"
2524,CHARGHAT M. A. HADI COLLEGE,RAJSHAHI,Non Govt.,126583,CHARGHAT
2525,TANOR MAHILA COLLEGE,RAJSHAHI,Non Govt.,127136,"CHAPRA, TALANDA"
2526,MACHMAIL COLLEGE,RAJSHAHI,Non Govt.,126421,
2527,PANIA NARDASH COLLEGE,RAJSHAHI,Non Govt.,126420,NORDASH
2528,GODAGARI MAHILA COLLEGE,RAJSHAHI,Non Govt.,126759,MOHISALBARI
2529,DHOKRAKUL COLLEGE,RAJSHAHI,Non Govt.,127018,"DHOKRAKUL, PUTHIA"
2530,PUTHIA MOHILA COLLEGE,RAJSHAHI,Non Govt.,127016,PUTHIA
2531,IDEAL COLLEGE,RAJSHAHI,Non Govt.,127010,JAMIRA
2532,PUTHIA ISLAMIA MAHILA COLLEGE,RAJSHAHI,Non Govt.,127015,PUTHIA
2533,HATKANPARA JOBEDA COLLEGE,RAJSHAHI,Non Govt.,126661,HAT KAN PARA
2534,SHOLUA COLLEGE,RAJSHAHI,Non Govt.,126585,"SHOLUA, CHARGHAT"
2535,KESHARHAT COLLEGE,RAJSHAHI,Non Govt.,126840,POST. KESHORHAT
2536,METROPOLITAN COLLEGE,RAJSHAHI,Non Govt.,126486,PABA NATUN PARA
2537,ISLAMIA COLLEGE,RAJSHAHI,Non Govt.,126482,BINODPUR BAZAR
2538,"BANGABANDHU COLLEGE, BOALIA",RAJSHAHI,Non Govt.,126485,Boalia
2539,INSTITUTE OF BUSINESS ADMINSTRATION (IBA),RAJSHAHI,Non Govt.,,KAZLA
2540,HATGANGOPARA DEGREE COLLEGE,RAJSHAHI,Non Govt.,126426,BAGMARA
2541,SREEPUR RAMNAGAR DEGREE COLLEGE,RAJSHAHI,Non Govt.,126430,"SAIPARA, BAGMARA"
2542,MOHONGONJ DEGREE COLLEGE,RAJSHAHI,Non Govt.,126427,ALIABAD
2543,MATIKATA ADARSHA DEGREE COLLEGE,RAJSHAHI,Non Govt.,126760,MATIKATA
2544,KALIGONJ HAT DEGREE COLLEGE,RAJSHAHI,Non Govt.,127138,KALIGONJ HAT
2545,NAOHATA WOMEN'S COLLEGE,RAJSHAHI,Non Govt.,126932,NAOHATA
2546,HAT RAMCHANDRAPUR DEGREE COLLEGE,RAJSHAHI,Non Govt.,126935,RAMCHANDRAPUR
2547,ATRAI AGRANI DEGREE COLLEGE,RAJSHAHI,Non Govt.,126843,"ATRAI, GOCHA"
2548,POCHAMARIA DEGREE COLLEGE,RAJSHAHI,Non Govt.,127017,POCHAMARIA
2549,BAKTIARPUR DEGREE COLLEGE,RAJSHAHI,Non Govt.,126662,BAKTIARPUR
2550,NANDANGACHHI DEGREE COLLEGE,RAJSHAHI,Non Govt.,126584,NANDANGACHHI
2551,SARANJAI DEGREE COLLEGE,RAJSHAHI,Non Govt.,127141,SARANJAI
2552,DHOPAGHATA DEGREE COLLEGE,RAJSHAHI,Non Govt.,126850,DHOPAGHATA
2553,BHBANIGONJ WOMEN'S DEGREE COLLEGE,RAJSHAHI,Non Govt.,126425,BHABANIGANJ
2554,MOZAHAR HOSSAIN MOHILA DEGREE COLLEGE,RAJSHAHI,Non Govt.,126257,MILIK BAGHA
2555,DAKRA DEGREE COLLEGE,RAJSHAHI,Non Govt.,126579,"DAKRA, CHARGHAT"
2556,KAMELA HAQUE DEGREE COLLEGE,RAJSHAHI,Non Govt.,126772,BINODPUR BAZAR
2557,MOHANPUR GIRL'S DEGREE COLLEGE,RAJSHAHI,Non Govt.,126847,
2559,DURGAPUR MOHILA COLLEGE,RAJSHAHI,Non Govt.,126664,DURGAPUR
2560,MOHABBATPUR KHANPUR COLLEGE,RAJSHAHI,Non Govt.,126842,"KHANPUR, DHURAIL"
2561,SHYAMPUR HAT DEGREE COLLEGE,RAJSHAHI,Non Govt.,126845,"GOCHA, MOHANPUR"
2562,Govt.OUSUFPUR COLLEGE,RAJSHAHI,Non Govt.,126580,Govt.OUSUFPUR
2563,RAJSHAHI LAW COLLEGE,RAJSHAHI,Non Govt.,,"boalia, rajshahi"
2565,PUNGU SHISU NIKATON SHAMONNITO ABOYTONIK COLLEGE,RAJSHAHI,Non Govt.,122720,"SADONPUR, PUTHIA"
2567,HAJI JAMIR UDDIN SHAFINA WOMEN'S COLLEGE,RAJSHAHI,Non Govt.,127037,LUXMIPUR VATAPARA
2568,AL-HAJ ERSHAD ALI WOMEN'S COLLEGE,RAJSHAHI,Non Govt.,126261,ARANI
