orgid,approved_url
7590823,https://csjmu.samarth.edu.in/index.php/site/login
7590823,https://ppn.rccknp.com/login.php?&LogID=r2ui090ocl6osvn9ikj9gtncs0
7591273,https://purneauniversity.samarth.edu.in/index.php/site/login
10009593,https://gurucharanuniversity.samarth.edu.in/index.php/site/login
10010109,https://erp.mmambala.org/
10010109,https://erp.mmumullana.org/
10039571,https://ssju.samarth.edu.in/index.php/site/login
10041787,https://makaut.mastersofterp.in/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=EGbCGWnlHNJ/WdgJnKH8DA==
10046885,https://coet.etlab.in/user/login
10048959,https://allduniv.samarth.edu.in/index.php/site/login
10051571,https://login.dsuni.ac.in/
10051885,https://gnioterp.com:155/
10054472,https://magadhuniversity.samarth.edu.in/index.php/site/login
10054970,https://ncrims.in/
10056939,https://sfs-ecity.linways.com/ams/student/login
10075857,https://cuap.samarth.edu.in/index.php/site/login
10083633,https://erp.rimt.ac.in/loginfinal.aspx
10084339,https://kunainital.samarth.edu.in/index.php/site/login
10132033,https://application.mungeruniversity.ac.in/
10147593,https://srtmupgadm.onlineportal.org.in/SiteContent/frmStudentLogin.aspx
10147704,https://bjbstudent.ivyeduerp.com/UserIdLogin.aspx
10147704,https://bjbstudentpg.ivyeduerp.com/useridlogin.aspx
10147800,https://durguniversity.samarth.edu.in/index.php/site/login
10147817,https://mgkvp.samarth.edu.in/index.php/site/login
10147897,https://msuniversity.samarth.edu.in/index.php/site/login
10147921,http://coe.vsbcetc.edu.in/apps/students/
10147921,https://coe.annauniv.edu/home/
10147921,https://onlineservices.annauniv.edu/pages/login.php
10147921,https://www.coe.vsbec.edu.in/coxco/
10147921,https://www.coe.vsbec.edu.in/examfees/
10148273,https://aiettaexams.in/
10149501,https://portal.kitcbe.com/
10150237,https://jncu.samarth.edu.in/index.php/site/login
10150259,https://astu.samarth.edu.in/index.php/site/login
10150259,https://dibru.samarth.edu.in/index.php/site/login
10150259,https://gauhati.samarth.edu.in/index.php/site/login
10151284,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/lms/login/index.php
10151987,https://csjmu.samarth.edu.in/index.php/site/login
10152194,https://slc.uod.ac.in/index.php/site/login
10157525,http://addoe.amity.edu/student-zone.html
10157665,https://sis.jntuhceh.ac.in/student/login
10157892,https://ppup.samarth.edu.in/index.php/site/login
10157892,https://rkdcollegepatna.org/Online/Default.aspx
10201429,https://lkouniv.samarth.edu.in/index.php/site/login
10201429,https://online.jnpg.org.in/Modify_Details.aspx
10205310,https://panel.okiedokiepay.com/auth/phone-login
10205340,https://mscollege.net/Semesters/Semester1/Admission/login.php
10205340,https://umis.brabu.ac.in/
10216070,https://yspuniversity.samarth.edu.in/index.php/site/login
10216095,https://erp.mangalayatan.in/StudentPortal.v3/Default.aspx?_gl=1*g5tuz0*_gcl_au*MTQ3NDM3NTYyLjE3ODA1OTE1MjkuMTAyMDE5NTUxMi4xNzgwNTkxNTQ4LjE3ODA1OTE1NDg.
10216095,https://www.mangalayatan.in/student/student_login.php
10232737,https://aktu.samarth.edu.in/index.php/site/login
